Overall Metrics
total_tasks: 256
first_start_ms: 0.000
last_finish_ms: 10194.000
makespan_ms: 10194.000
deadline_miss_count: 215
deadline_miss_rate: 0.839844
max_tardiness_ms: 9594.000
average_tardiness_ms: 2940.793

Per-Task Results
task_name,device_name,start_ms,end_ms,deadline_ms,deadline_status,tardiness_ms
R49_LLM1,Jetson_19,5148.000,9836.000,600.000,MISSED,9236.000
R52_LLM2,Jetson_43,5148.000,9836.000,600.000,MISSED,9236.000
R53_LLM2,Jetson_51,5148.000,9836.000,600.000,MISSED,9236.000
R54_LLM2,Jetson_15,5148.000,9836.000,600.000,MISSED,9236.000
R56_LLM1,Jetson_11,5148.000,9836.000,600.000,MISSED,9236.000
R56_LLM2,Jetson_23,5148.000,9836.000,600.000,MISSED,9236.000
R57_LLM1,Jetson_13,5148.000,9836.000,600.000,MISSED,9236.000
R57_LLM2,Jetson_25,5148.000,9836.000,600.000,MISSED,9236.000
R59_LLM2,Jetson_5,5148.000,9836.000,600.000,MISSED,9236.000
R60_LLM1,Jetson_17,5148.000,9836.000,600.000,MISSED,9236.000
R61_LLM2,Jetson_29,5148.000,9836.000,600.000,MISSED,9236.000
R63_LLM1,Jetson_21,5148.000,9836.000,600.000,MISSED,9236.000
R62_LLM1,Jetson_32,5270.000,9958.000,600.000,MISSED,9358.000
R44_LLM2,Jetson_36,5382.000,10070.000,600.000,MISSED,9470.000
R60_LLM2,Jetson_28,5382.000,10070.000,600.000,MISSED,9470.000
R61_LLM1,Jetson_20,5382.000,10070.000,600.000,MISSED,9470.000
R64_LLM2,Jetson_46,5382.000,10070.000,600.000,MISSED,9470.000
R42_LLM2,Jetson_38,5384.000,10072.000,600.000,MISSED,9472.000
R46_LLM2,Jetson_40,5384.000,10072.000,600.000,MISSED,9472.000
R48_LLM2,Jetson_41,5384.000,10072.000,600.000,MISSED,9472.000
R49_LLM2,Jetson_44,5384.000,10072.000,600.000,MISSED,9472.000
R63_LLM2,Jetson_1,5392.000,10080.000,600.000,MISSED,9480.000
R62_LLM2,Jetson_45,5506.000,10194.000,600.000,MISSED,9594.000
R64_LLM1,Jetson_42,5506.000,10194.000,600.000,MISSED,9594.000
