,Deadline,ET on A,ET on B,ET on C,Input Size,Output Size,Source,Destination
R24_VIT1,400,112.3,40.7,49.2,2340,2340,23,0
R24_VIT2,400,112.3,40.7,49.2,2340,2340,23,0
R24_LLM1,600,4688.8,489.8,590.0,2340,2,23,0
R24_LLM2,600,4688.8,489.8,590.0,2340,2,23,0
R25_VIT1,400,112.3,40.7,49.2,2340,2340,24,0
R25_VIT2,400,112.3,40.7,49.2,2340,2340,24,0
R25_LLM1,600,4688.8,489.8,590.0,2340,2,24,0
R25_LLM2,600,4688.8,489.8,590.0,2340,2,24,0
R26_VIT1,400,112.3,40.7,49.2,2340,2340,25,0
R26_VIT2,400,112.3,40.7,49.2,2340,2340,25,0
R26_LLM1,600,4688.8,489.8,590.0,2340,2,25,0
R26_LLM2,600,4688.8,489.8,590.0,2340,2,25,0
R27_VIT1,400,112.3,40.7,49.2,2340,2340,26,0
R27_VIT2,400,112.3,40.7,49.2,2340,2340,26,0
R27_LLM1,600,4688.8,489.8,590.0,2340,2,26,0
R27_LLM2,600,4688.8,489.8,590.0,2340,2,26,0
R28_VIT1,400,112.3,40.7,49.2,2340,2340,27,0
R28_VIT2,400,112.3,40.7,49.2,2340,2340,27,0
R28_LLM1,600,4688.8,489.8,590.0,2340,2,27,0
R28_LLM2,600,4688.8,489.8,590.0,2340,2,27,0
R29_VIT1,400,112.3,40.7,49.2,2340,2340,28,0
R29_VIT2,400,112.3,40.7,49.2,2340,2340,28,0
R29_LLM1,600,4688.8,489.8,590.0,2340,2,28,0
R29_LLM2,600,4688.8,489.8,590.0,2340,2,28,0
R30_VIT1,400,112.3,40.7,49.2,2340,2340,29,0
R30_VIT2,400,112.3,40.7,49.2,2340,2340,29,0
R30_LLM1,600,4688.8,489.8,590.0,2340,2,29,0
R30_LLM2,600,4688.8,489.8,590.0,2340,2,29,0
R31_VIT1,400,112.3,40.7,49.2,2340,2340,30,0
R31_VIT2,400,112.3,40.7,49.2,2340,2340,30,0
R31_LLM1,600,4688.8,489.8,590.0,2340,2,30,0
R31_LLM2,600,4688.8,489.8,590.0,2340,2,30,0
R32_VIT1,400,112.3,40.7,49.2,2340,2340,31,0
R32_VIT2,400,112.3,40.7,49.2,2340,2340,31,0
R32_LLM1,600,4688.8,489.8,590.0,2340,2,31,0
R32_LLM2,600,4688.8,489.8,590.0,2340,2,31,0
R33_VIT1,400,112.3,40.7,49.2,2340,2340,32,0
R33_VIT2,400,112.3,40.7,49.2,2340,2340,32,0
R33_LLM1,600,4688.8,489.8,590.0,2340,2,32,0
R33_LLM2,600,4688.8,489.8,590.0,2340,2,32,0
R34_VIT1,400,112.3,40.7,49.2,2340,2340,33,0
R34_VIT2,400,112.3,40.7,49.2,2340,2340,33,0
R34_LLM1,600,4688.8,489.8,590.0,2340,2,33,0
R34_LLM2,600,4688.8,489.8,590.0,2340,2,33,0
R35_VIT1,400,112.3,40.7,49.2,2340,2340,34,0
R35_VIT2,400,112.3,40.7,49.2,2340,2340,34,0
R35_LLM1,600,4688.8,489.8,590.0,2340,2,34,0
R35_LLM2,600,4688.8,489.8,590.0,2340,2,34,0
R36_VIT1,400,112.3,40.7,49.2,2340,2340,35,0
R36_VIT2,400,112.3,40.7,49.2,2340,2340,35,0
R36_LLM1,600,4688.8,489.8,590.0,2340,2,35,0
R36_LLM2,600,4688.8,489.8,590.0,2340,2,35,0
R37_VIT1,400,112.3,40.7,49.2,2340,2340,36,0
R37_VIT2,400,112.3,40.7,49.2,2340,2340,36,0
R37_LLM1,600,4688.8,489.8,590.0,2340,2,36,0
R37_LLM2,600,4688.8,489.8,590.0,2340,2,36,0
R38_VIT1,400,112.3,40.7,49.2,2340,2340,37,0
R38_VIT2,400,112.3,40.7,49.2,2340,2340,37,0
R38_LLM1,600,4688.8,489.8,590.0,2340,2,37,0
R38_LLM2,600,4688.8,489.8,590.0,2340,2,37,0
R39_VIT1,400,112.3,40.7,49.2,2340,2340,38,0
R39_VIT2,400,112.3,40.7,49.2,2340,2340,38,0
R39_LLM1,600,4688.8,489.8,590.0,2340,2,38,0
R39_LLM2,600,4688.8,489.8,590.0,2340,2,38,0
R40_VIT1,400,112.3,40.7,49.2,2340,2340,39,0
R40_VIT2,400,112.3,40.7,49.2,2340,2340,39,0
R40_LLM1,600,4688.8,489.8,590.0,2340,2,39,0
R40_LLM2,600,4688.8,489.8,590.0,2340,2,39,0
R41_VIT1,400,112.3,40.7,49.2,2340,2340,40,0
R41_VIT2,400,112.3,40.7,49.2,2340,2340,40,0
R41_LLM1,600,4688.8,489.8,590.0,2340,2,40,0
R41_LLM2,600,4688.8,489.8,590.0,2340,2,40,0
R42_VIT1,400,112.3,40.7,49.2,2340,2340,41,0
R42_VIT2,400,112.3,40.7,49.2,2340,2340,41,0
R42_LLM1,600,4688.8,489.8,590.0,2340,2,41,0
R42_LLM2,600,4688.8,489.8,590.0,2340,2,41,0
R43_VIT1,400,112.3,40.7,49.2,2340,2340,42,0
R43_VIT2,400,112.3,40.7,49.2,2340,2340,42,0
R43_LLM1,600,4688.8,489.8,590.0,2340,2,42,0
R43_LLM2,600,4688.8,489.8,590.0,2340,2,42,0
R44_VIT1,400,112.3,40.7,49.2,2340,2340,43,0
R44_VIT2,400,112.3,40.7,49.2,2340,2340,43,0
R44_LLM1,600,4688.8,489.8,590.0,2340,2,43,0
R44_LLM2,600,4688.8,489.8,590.0,2340,2,43,0
R45_VIT1,400,112.3,40.7,49.2,2340,2340,44,0
R45_VIT2,400,112.3,40.7,49.2,2340,2340,44,0
R45_LLM1,600,4688.8,489.8,590.0,2340,2,44,0
R45_LLM2,600,4688.8,489.8,590.0,2340,2,44,0
R46_VIT1,400,112.3,40.7,49.2,2340,2340,45,0
R46_VIT2,400,112.3,40.7,49.2,2340,2340,45,0
R46_LLM1,600,4688.8,489.8,590.0,2340,2,45,0
R46_LLM2,600,4688.8,489.8,590.0,2340,2,45,0
R47_VIT1,400,112.3,40.7,49.2,2340,2340,46,0
R47_VIT2,400,112.3,40.7,49.2,2340,2340,46,0
R47_LLM1,600,4688.8,489.8,590.0,2340,2,46,0
R47_LLM2,600,4688.8,489.8,590.0,2340,2,46,0
R48_VIT1,400,112.3,40.7,49.2,2340,2340,47,0
R48_VIT2,400,112.3,40.7,49.2,2340,2340,47,0
R48_LLM1,600,4688.8,489.8,590.0,2340,2,47,0
R48_LLM2,600,4688.8,489.8,590.0,2340,2,47,0
R49_VIT1,400,112.3,40.7,49.2,2340,2340,48,0
R49_VIT2,400,112.3,40.7,49.2,2340,2340,48,0
R49_LLM1,600,4688.8,489.8,590.0,2340,2,48,0
R49_LLM2,600,4688.8,489.8,590.0,2340,2,48,0
R50_VIT1,400,112.3,40.7,49.2,2340,2340,49,0
R50_VIT2,400,112.3,40.7,49.2,2340,2340,49,0
R50_LLM1,600,4688.8,489.8,590.0,2340,2,49,0
R50_LLM2,600,4688.8,489.8,590.0,2340,2,49,0
R51_VIT1,400,112.3,40.7,49.2,2340,2340,50,0
R51_VIT2,400,112.3,40.7,49.2,2340,2340,50,0
R51_LLM1,600,4688.8,489.8,590.0,2340,2,50,0
R51_LLM2,600,4688.8,489.8,590.0,2340,2,50,0
R52_VIT1,400,112.3,40.7,49.2,2340,2340,51,0
R52_VIT2,400,112.3,40.7,49.2,2340,2340,51,0
R52_LLM1,600,4688.8,489.8,590.0,2340,2,51,0
R52_LLM2,600,4688.8,489.8,590.0,2340,2,51,0
R53_VIT1,400,112.3,40.7,49.2,2340,2340,52,0
R53_VIT2,400,112.3,40.7,49.2,2340,2340,52,0
R53_LLM1,600,4688.8,489.8,590.0,2340,2,52,0
R53_LLM2,600,4688.8,489.8,590.0,2340,2,52,0
R54_VIT1,400,112.3,40.7,49.2,2340,2340,53,0
R54_VIT2,400,112.3,40.7,49.2,2340,2340,53,0
R54_LLM1,600,4688.8,489.8,590.0,2340,2,53,0
R54_LLM2,600,4688.8,489.8,590.0,2340,2,53,0
R55_VIT1,400,112.3,40.7,49.2,2340,2340,54,0
R55_VIT2,400,112.3,40.7,49.2,2340,2340,54,0
R55_LLM1,600,4688.8,489.8,590.0,2340,2,54,0
R55_LLM2,600,4688.8,489.8,590.0,2340,2,54,0
R56_VIT1,400,112.3,40.7,49.2,2340,2340,55,0
R56_VIT2,400,112.3,40.7,49.2,2340,2340,55,0
R56_LLM1,600,4688.8,489.8,590.0,2340,2,55,0
R56_LLM2,600,4688.8,489.8,590.0,2340,2,55,0
R57_VIT1,400,112.3,40.7,49.2,2340,2340,56,0
R57_VIT2,400,112.3,40.7,49.2,2340,2340,56,0
R57_LLM1,600,4688.8,489.8,590.0,2340,2,56,0
R57_LLM2,600,4688.8,489.8,590.0,2340,2,56,0
R58_VIT1,400,112.3,40.7,49.2,2340,2340,57,0
R58_VIT2,400,112.3,40.7,49.2,2340,2340,57,0
R58_LLM1,600,4688.8,489.8,590.0,2340,2,57,0
R58_LLM2,600,4688.8,489.8,590.0,2340,2,57,0
R59_VIT1,400,112.3,40.7,49.2,2340,2340,58,0
R59_VIT2,400,112.3,40.7,49.2,2340,2340,58,0
R59_LLM1,600,4688.8,489.8,590.0,2340,2,58,0
R59_LLM2,600,4688.8,489.8,590.0,2340,2,58,0
R60_VIT1,400,112.3,40.7,49.2,2340,2340,59,0
R60_VIT2,400,112.3,40.7,49.2,2340,2340,59,0
R60_LLM1,600,4688.8,489.8,590.0,2340,2,59,0
R60_LLM2,600,4688.8,489.8,590.0,2340,2,59,0
R61_VIT1,400,112.3,40.7,49.2,2340,2340,60,0
R61_VIT2,400,112.3,40.7,49.2,2340,2340,60,0
R61_LLM1,600,4688.8,489.8,590.0,2340,2,60,0
R61_LLM2,600,4688.8,489.8,590.0,2340,2,60,0
R62_VIT1,400,112.3,40.7,49.2,2340,2340,61,0
R62_VIT2,400,112.3,40.7,49.2,2340,2340,61,0
R62_LLM1,600,4688.8,489.8,590.0,2340,2,61,0
R62_LLM2,600,4688.8,489.8,590.0,2340,2,61,0
R63_VIT1,400,112.3,40.7,49.2,2340,2340,62,0
R63_VIT2,400,112.3,40.7,49.2,2340,2340,62,0
R63_LLM1,600,4688.8,489.8,590.0,2340,2,62,0
R63_LLM2,600,4688.8,489.8,590.0,2340,2,62,0
R64_VIT1,400,112.3,40.7,49.2,2340,2340,63,0
R64_VIT2,400,112.3,40.7,49.2,2340,2340,63,0
R64_LLM1,600,4688.8,489.8,590.0,2340,2,63,0
R64_LLM2,600,4688.8,489.8,590.0,2340,2,63,0
